Mean Pooling (FlatL2),PCA + FlatL2,Product Quantization (PQ),DCT Fingerprinting,TEA Alphabet,Knowledge Distillation (BiLSTM)
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,0,1,0,1
1,0,1,1,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,0
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,0
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,0,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,0
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,0,0,0,0
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,0,1,0
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,0
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,1,1
